IP Address,Date/Time,HTTP Method,Endpoint,Access Count,Response Size,Request Count,Failed Login Count
192.168.1.1,03/Dec/2024:10:12:34,GET,/home,200,512,7,0
203.0.113.5,03/Dec/2024:10:12:35,POST,/login,401,128,8,8
10.0.0.2,03/Dec/2024:10:12:36,GET,/about,200,256,6,0
192.168.1.1,03/Dec/2024:10:12:37,GET,/contact,200,312,7,0
198.51.100.23,03/Dec/2024:10:12:38,POST,/register,200,128,8,0
203.0.113.5,03/Dec/2024:10:12:39,POST,/login,401,128,8,8
192.168.1.100,03/Dec/2024:10:12:40,POST,/login,401,128,5,5
10.0.0.2,03/Dec/2024:10:12:41,GET,/dashboard,200,1024,6,0
198.51.100.23,03/Dec/2024:10:12:42,GET,/about,200,256,8,0
192.168.1.1,03/Dec/2024:10:12:43,GET,/dashboard,200,1024,7,0
203.0.113.5,03/Dec/2024:10:12:44,POST,/login,401,128,8,8
203.0.113.5,03/Dec/2024:10:12:45,POST,/login,401,128,8,8
192.168.1.100,03/Dec/2024:10:12:46,POST,/login,401,128,5,5
10.0.0.2,03/Dec/2024:10:12:47,GET,/profile,200,768,6,0
192.168.1.1,03/Dec/2024:10:12:48,GET,/home,200,512,7,0
198.51.100.23,03/Dec/2024:10:12:49,POST,/feedback,200,128,8,0
203.0.113.5,03/Dec/2024:10:12:50,POST,/login,401,128,8,8
192.168.1.1,03/Dec/2024:10:12:51,GET,/home,200,512,7,0
198.51.100.23,03/Dec/2024:10:12:52,GET,/about,200,256,8,0
203.0.113.5,03/Dec/2024:10:12:53,POST,/login,401,128,8,8
192.168.1.100,03/Dec/2024:10:12:54,POST,/login,401,128,5,5
10.0.0.2,03/Dec/2024:10:12:55,GET,/contact,200,512,6,0
198.51.100.23,03/Dec/2024:10:12:56,GET,/home,200,512,8,0
192.168.1.100,03/Dec/2024:10:12:57,POST,/login,401,128,5,5
203.0.113.5,03/Dec/2024:10:12:58,POST,/login,401,128,8,8
10.0.0.2,03/Dec/2024:10:12:59,GET,/dashboard,200,1024,6,0
192.168.1.1,03/Dec/2024:10:13:00,GET,/about,200,256,7,0
198.51.100.23,03/Dec/2024:10:13:01,POST,/register,200,128,8,0
203.0.113.5,03/Dec/2024:10:13:02,POST,/login,401,128,8,8
192.168.1.100,03/Dec/2024:10:13:03,POST,/login,401,128,5,5
10.0.0.2,03/Dec/2024:10:13:04,GET,/profile,200,768,6,0
198.51.100.23,03/Dec/2024:10:13:05,GET,/about,200,256,8,0
192.168.1.1,03/Dec/2024:10:13:06,GET,/home,200,512,7,0
198.51.100.23,03/Dec/2024:10:13:07,POST,/feedback,200,128,8,0
